Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
Q9BXA9;Q9NSC2;Q9Y467,SALL1_HUMAN;SALL2_HUMAN;SALL3_HUMAN,SALL1;SALL2;SALL3,Sal-like protein 3,5157.75,,,,,
Q9BXB4,OSB11_HUMAN,OSBPL11,Oxysterol-binding protein-related protein 11,75263.1,,118388,100271,57399.6,
Q9BXB5,OSB10_HUMAN,OSBPL10,Oxysterol-binding protein-related protein 10,40331,,43448.2,34891.8,33436.3,41784.4
Q9BXC9,BBS2_HUMAN,BBS2,BBSome complex member BBS2,421032,,2.28E+06,761578,842696,854688
Q9BXD5,NPL_HUMAN,NPL,N-acetylneuraminate lyase,5.91E+06,1.81E+07,3.26E+06,3.96E+06,5.49E+06,2.94E+06
Q9BXI6,TB10A_HUMAN,TBC1D10A,TBC1 domain family member 10A,1.09E+06,,2.76E+06,461498,845838,
Q9BXJ0,C1QT5_HUMAN,C1QTNF5,Complement C1q tumor necrosis factor-related protein 5,1.14E+06,2.02E+06,9.97E+06,1.26E+06,1.76E+06,1.45E+06
Q9BXJ3,C1QT4_HUMAN,C1QTNF4,Complement C1q tumor necrosis factor-related protein 4,,,47428.5,,,23479.3
Q9BXJ4,C1QT3_HUMAN,C1QTNF3,Complement C1q tumor necrosis factor-related protein 3,3.86E+06,,4.37E+06,2.09E+06,8.40E+06,4.77E+06
Q9BXJ9,NAA15_HUMAN,NAA15,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",2.38E+06,5.36E+06,4.20E+06,5.09E+06,5.66E+06,3.67E+06
Q9BXK5,B2L13_HUMAN,BCL2L13,Bcl-2-like protein 13,1.19E+06,823089,756093,751838,639402,568230
Q9BXM9,FSD1L_HUMAN,FSD1L,FSD1-like protein,,,457925,179865,429094,
Q9BXN1,ASPN_HUMAN,ASPN,Asporin,2.61E+06,,,3.61E+06,2.99E+06,9.19E+06
Q9BXP5,SRRT_HUMAN,SRRT,Serrate RNA effector molecule homolog,3.62E+06,2.14E+06,1.68E+06,3.21E+06,2.98E+06,3.03E+06
Q9BXR0,TGT_HUMAN,QTRT1,Queuine tRNA-ribosyltransferase catalytic subunit 1,28762.1,,28162.3,35687.9,38636.6,32945.4
Q9BXR6,FHR5_HUMAN,CFHR5,Complement factor H-related protein 5,550640,2.05E+06,1.53E+06,585312,1.64E+06,1.18E+06
Q9BXS5,AP1M1_HUMAN,AP1M1,AP-1 complex subunit mu-1,5.29E+06,6.99E+06,3.84E+06,5.86E+06,4.64E+06,5.33E+06
Q9BXT2,CCG6_HUMAN,CACNG6,Voltage-dependent calcium channel gamma-6 subunit,,,41365,,,
Q9BXV9,GON7_HUMAN,GON7,EKC/KEOPS complex subunit GON7,2.51E+06,3.60E+06,3.40E+06,3.09E+06,2.45E+06,3.07E+06
Q9BXW6,OSBL1_HUMAN,OSBPL1A,Oxysterol-binding protein-related protein 1,850208,1.68E+06,584888,303823,546658,493667
Q9BXW7,HDHD5_HUMAN,HDHD5,Haloacid dehalogenase-like hydrolase domain-containing 5,8587.85,,,3996.46,,9826.34
Q9BXW9,FACD2_HUMAN,FANCD2,Fanconi anemia group D2 protein,,,,3186.37,1044.57,
Q9BXX0,EMIL2_HUMAN,EMILIN2,EMILIN-2,197306,701804,2.23E+06,2.18E+06,617481,478460
Q9BXY0,MAK16_HUMAN,MAK16,Protein MAK16 homolog,26768.3,,9565.62,20043.6,40566.8,32696.1
Q9BY10,S46A2_HUMAN,SLC46A2,Solute carrier family 46 member 2,,,22099.9,1454.34,,
Q9BY11,PACN1_HUMAN,PACSIN1,Protein kinase C and casein kinase substrate in neurons protein 1,1.45E+06,,5.14E+06,1.07E+06,3.22E+06,2.08E+06
Q9BY32,ITPA_HUMAN,ITPA,Inosine triphosphate pyrophosphatase,6.41E+06,8.50E+06,8.02E+06,7.86E+06,6.25E+06,7.39E+06
Q9BY41,HDAC8_HUMAN,HDAC8,Histone deacetylase 8,41444,,54961.3,29805.8,28274.4,19360.8
Q9BY42,RTF2_HUMAN,RTF2,Replication termination factor 2,276324,,371876,372724,322207,501503
Q9BY43,CHM4A_HUMAN,CHMP4A,Charged multivesicular body protein 4a,3.68E+06,6.30E+06,4.66E+06,3.70E+06,4.64E+06,3.27E+06
Q9BY44,EIF2A_HUMAN,EIF2A,Eukaryotic translation initiation factor 2A,714456,607068,708242,646040,1.10E+06,908346
Q9BY67,CADM1_HUMAN,CADM1,Cell adhesion molecule 1,7.12E+06,7.17E+06,7.63E+06,2.13E+07,5.56E+06,7.39E+06
Q9BY77,PDIP3_HUMAN,POLDIP3,Polymerase delta-interacting protein 3,999547,,500689,732178,932698,974348
Q9BY89,K1671_HUMAN,KIAA1671,Uncharacterized protein KIAA1671,704862,,1.54E+06,571436,,
Q9BYB4,GNB1L_HUMAN,GNB1L,Guanine nucleotide-binding protein subunit beta-like protein 1,235869,233223,122392,202367,175662,224754
Q9BYE2,TMPSD_HUMAN,TMPRSS13,Transmembrane protease serine 13,1.27E+06,5.57E+06,3.82E+06,1.05E+06,3.05E+06,2.21E+06
Q9BYE9,CDHR2_HUMAN,CDHR2,Cadherin-related family member 2,869905,2.20E+06,1.54E+07,367444,771036,261095
Q9BYG3,MK67I_HUMAN,NIFK,MKI67 FHA domain-interacting nucleolar phosphoprotein,265738,,139027,48919.3,324454,301516
Q9BYG5,PAR6B_HUMAN,PARD6B,Partitioning defective 6 homolog beta,126402,,344834,70457.3,164335,179663
Q9BYI3,HYCCI_HUMAN,HYCC1,Hyccin,134034,,278786,95056.8,156010,151125
Q9BYJ0,FGFP2_HUMAN,FGFBP2,Fibroblast growth factor-binding protein 2,,663353,,,247038,
Q9BYJ9,YTHD1_HUMAN,YTHDF1,YTH domain-containing family protein 1,286192,,,181045,154685,296738
Q9BYM8,HOIL1_HUMAN,RBCK1,RanBP-type and C3HC4-type zinc finger-containing protein 1,568705,2.10E+06,649493,522491,673923,733344
Q9BYN0,SRXN1_HUMAN,SRXN1,Sulfiredoxin-1,34196.9,217962,,,,92691.2
Q9BYT3,STK33_HUMAN,STK33,Serine/threonine-protein kinase 33,109922,111168,419119,133942,340558,227526
Q9BYT8,NEUL_HUMAN,NLN,"Neurolysin, mitochondrial",1.48E+08,1.93E+08,1.13E+08,1.40E+08,1.21E+08,1.30E+08
Q9BYV8,CEP41_HUMAN,CEP41,Centrosomal protein of 41 kDa,251420,,307550,320088,613860,359455
Q9BYW2,SETD2_HUMAN,SETD2,Histone-lysine N-methyltransferase SETD2,7092.42,,,,6723.56,9553.63
Q9BYX2,TBD2A_HUMAN,TBC1D2,TBC1 domain family member 2A,674948,,750058,1.24E+06,813310,921102
Q9BYX4,IFIH1_HUMAN,IFIH1,Interferon-induced helicase C domain-containing protein 1,66771.2,,110590,104260,150652,109505
Q9BZ23,PANK2_HUMAN,PANK2,"Pantothenate kinase 2, mitochondrial",11820.2,,6547.62,16672.7,10458.4,
Q9BZ29,DOCK9_HUMAN,DOCK9,Dedicator of cytokinesis protein 9,,,280274,118206,273226,302219
Q9BZ67,FRMD8_HUMAN,FRMD8,FERM domain-containing protein 8,68383.1,,46011.3,55735,60170.7,64072.5
Q9BZ95,NSD3_HUMAN,NSD3,Histone-lysine N-methyltransferase NSD3,5535.12,,2742.68,,5109.46,2353.89
Q9BZE2,PUS3_HUMAN,PUS3,tRNA pseudouridine(38/39) synthase,12157.9,,8735.89,6827.26,,
Q9BZE4,GTPB4_HUMAN,GTPBP4,GTP-binding protein 4,249531,,143146,51674.5,117208,142346
Q9BZE9,ASPC1_HUMAN,ASPSCR1,Tether containing UBX domain for GLUT4,1.42E+07,2.03E+07,1.13E+07,1.46E+07,1.34E+07,1.01E+07
Q9BZF1,OSBL8_HUMAN,OSBPL8,Oxysterol-binding protein-related protein 8,244689,289228,132775,97969.8,151749,216830
Q9BZF9,UACA_HUMAN,UACA,Uveal autoantigen with coiled-coil domains and ankyrin repeats,4.50E+06,,,1.97E+06,3.53E+06,6.94E+06
Q9BZG1,RAB34_HUMAN,RAB34,Ras-related protein Rab-34,774169,1.42E+06,2.49E+06,819563,1.26E+06,1.19E+06
Q9BZH6,WDR11_HUMAN,WDR11,WD repeat-containing protein 11,3.66E+06,1.24E+07,5.89E+06,7.59E+06,6.46E+06,5.14E+06
Q9BZJ0,CRNL1_HUMAN,CRNKL1,Crooked neck-like protein 1,6331.14,,,3275.04,10888.9,10066
Q9BZK7,TBL1R_HUMAN,TBL1XR1,F-box-like/WD repeat-containing protein TBL1XR1,5.10E+06,3.05E+06,3.55E+06,5.55E+06,4.23E+06,4.80E+06
Q9BZL1,UBL5_HUMAN,UBL5,Ubiquitin-like protein 5,14144.7,,38784,31211,27809.3,22907.6
Q9BZL4,PP12C_HUMAN,PPP1R12C,Protein phosphatase 1 regulatory subunit 12C,4.44E+06,2.17E+06,3.72E+06,2.46E+06,1.96E+06,4.94E+06
Q9BZL6,KPCD2_HUMAN,PRKD2,Serine/threonine-protein kinase D2,485226,,350757,405077,324768,411975
Q9BZM4,ULBP3_HUMAN,ULBP3,UL16-binding protein 3,533695,,2.31E+06,1.19E+06,859472,
Q9BZM5,ULBP2_HUMAN,ULBP2,UL16-binding protein 2,,,,6911.09,,
Q9BZQ8,NIBA1_HUMAN,NIBAN1,Protein Niban 1,1.45E+06,2.27E+06,663516,1.86E+06,1.03E+06,1.18E+06
Q9BZR6,RTN4R_HUMAN,RTN4R,Reticulon-4 receptor,152843,501922,622324,162553,59640.5,137123
Q9BZV1,UBXN6_HUMAN,UBXN6,UBX domain-containing protein 6,909470,808882,976630,730266,665291,1.19E+06
Q9BZX2,UCK2_HUMAN,UCK2,Uridine-cytidine kinase 2,314880,,157836,517656,558698,534361
Q9BZZ5,API5_HUMAN,API5,Apoptosis inhibitor 5,7.76E+06,3.50E+06,5.33E+06,7.73E+06,7.13E+06,6.49E+06
Q9C002,NMES1_HUMAN,NMES1,Normal mucosa of esophagus-specific gene 1 protein,7662.43,,,2361.45,,
Q9C005,DPY30_HUMAN,DPY30,Protein dpy-30 homolog,3.99E+06,1.68E+06,4.76E+06,4.71E+06,6.46E+06,4.78E+06
Q9C040,TRIM2_HUMAN,TRIM2,Tripartite motif-containing protein 2,2.51E+06,2.14E+06,2.57E+06,2.81E+06,2.94E+06,2.94E+06
Q9C0B0,UNK_HUMAN,UNK,RING finger protein unkempt homolog,565389,,316389,458100,528789,447917
Q9C0B1,FTO_HUMAN,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO,2.52E+06,1.58E+06,2.79E+06,2.42E+06,1.73E+06,2.70E+06
Q9C0B5,ZDHC5_HUMAN,ZDHHC5,Palmitoyltransferase ZDHHC5,2073.66,2818.79,1296.6,2580.52,,
Q9C0C2,TB182_HUMAN,TNKS1BP1,182 kDa tankyrase-1-binding protein,2.41E+06,1.60E+06,1.96E+06,1.72E+06,2.25E+06,2.39E+06
Q9C0C4,SEM4C_HUMAN,SEMA4C,Semaphorin-4C,402259,,,1.05E+06,727183,434162
Q9C0C9,UBE2O_HUMAN,UBE2O,(E3-independent) E2 ubiquitin-conjugating enzyme,1.49E+06,3.55E+06,996860,924021,923371,1.67E+06
Q9C0D3,ZY11B_HUMAN,ZYG11B,Protein zyg-11 homolog B,5605.09,,9190.7,4591.63,,4924.58
Q9C0D5,TANC1_HUMAN,TANC1,Protein TANC1,1.70E+06,,1.03E+06,910177,,
Q9C0E2,XPO4_HUMAN,XPO4,Exportin-4,1.01E+06,481655,437656,832215,666893,689100
Q9C0E8,LNP_HUMAN,LNPK,Endoplasmic reticulum junction formation protein lunapark,33467.5,,14139.3,20260.5,32745.3,37676.7
Q9C0F1,CEP44_HUMAN,CEP44,Centrosomal protein of 44 kDa,,,,5490.07,,
Q9C0H2,TTYH3_HUMAN,TTYH3,Protein tweety homolog 3,205896,1.91E+06,684968,137444,295978,231812
Q9C0H5,RHG39_HUMAN,ARHGAP39,Rho GTPase-activating protein 39,1417.61,,185845,,52147.2,
Q9C0H9,SRCN1_HUMAN,SRCIN1,SRC kinase signaling inhibitor 1,,,605880,,341083,5.72E+06
Q9C0I1,MTMRC_HUMAN,MTMR12,Myotubularin-related protein 12,919899,,1.25E+06,1.58E+06,1.42E+06,1.58E+06
Q9C0J8,WDR33_HUMAN,WDR33,pre-mRNA 3' end processing protein WDR33,297844,,,179170,171495,194587
Q9GZL7,WDR12_HUMAN,WDR12,Ribosome biogenesis protein WDR12,1.59E+06,1.89E+06,1.86E+06,1.93E+06,3.28E+06,2.62E+06
Q9GZM5,YIPF3_HUMAN,YIPF3,Protein YIPF3,9207.58,,2.19E+06,807324,,6132.8
Q9GZM7,TINAL_HUMAN,TINAGL1,Tubulointerstitial nephritis antigen-like,85691.7,,617139,318935,800362,
Q9GZN4,BSSP4_HUMAN,PRSS22,Brain-specific serine protease 4,460551,2.64E+06,794821,733183,1.32E+06,
Q9GZN7,ROGDI_HUMAN,ROGDI,Protein rogdi homolog,,,4499.55,5554.68,9109.95,4094.81
Q9GZN8,ADSSP_HUMAN,ADISSP,Adipose-secreted signaling protein,3.47E+06,5.55E+06,6.09E+06,2.10E+06,1.82E+06,3.77E+06
Q9GZP0,PDGFD_HUMAN,PDGFD,Platelet-derived growth factor D,,2.37E+06,1.38E+06,757658,1.08E+06,
Q9GZP4,PITH1_HUMAN,PITHD1,PITH domain-containing protein 1,1.96E+07,8.85E+07,8.12E+06,8.20E+06,8.12E+06,1.49E+07
Q9GZP8,IMUP_HUMAN,IMUP,Immortalization up-regulated protein,7.31E+06,8.33E+06,8.33E+06,2.07E+06,5.44E+06,6.63E+06
Q9GZQ3,COMD5_HUMAN,COMMD5,COMM domain-containing protein 5,369662,,321897,434259,478184,536360
Q9GZR7,DDX24_HUMAN,DDX24,ATP-dependent RNA helicase DDX24,8786.54,,,7839.42,15266.5,10264.8
Q9GZS1,RPA49_HUMAN,POLR1E,DNA-directed RNA polymerase I subunit RPA49,151969,,,,,
Q9GZS3,SKI8_HUMAN,SKIC8,Superkiller complex protein 8,6.53E+06,4.31E+06,6.08E+06,6.59E+06,5.95E+06,7.04E+06
Q9GZT3,SLIRP_HUMAN,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",181489,340846,,34454.4,,115394
Q9GZT4,SRR_HUMAN,SRR,Serine racemase,,,6914.7,6759.09,,
Q9GZT8,NIF3L_HUMAN,NIF3L1,NIF3-like protein 1,3.65E+06,1.67E+07,3.07E+06,2.45E+06,2.75E+06,4.18E+06
Q9GZT9,EGLN1_HUMAN,EGLN1,Egl nine homolog 1,803942,,898753,883997,778162,561838
Q9GZU7,CTDS1_HUMAN,CTDSP1,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1,23074.1,,52820.8,23180.8,18764.8,45348
Q9GZU8,PIP30_HUMAN,PSME3IP1,PSME3-interacting protein,1.44E+06,2.06E+06,2.27E+06,1.87E+06,1.49E+06,1.64E+06
Q9GZV4,IF5A2_HUMAN,EIF5A2,Eukaryotic translation initiation factor 5A-2,1.71E+06,634862,,3.81E+06,345234,940733
Q9GZX3,CHST6_HUMAN,CHST6,Carbohydrate sulfotransferase 6,326375,2.00E+06,589316,256794,393871,533570
Q9GZX9,TWSG1_HUMAN,TWSG1,Twisted gastrulation protein homolog 1,62359.1,69393.1,45411.9,67326.2,,47292.7
Q9GZZ1,NAA50_HUMAN,NAA50,N-alpha-acetyltransferase 50,2.53E+06,2.68E+06,2.77E+06,2.77E+06,3.16E+06,2.55E+06
Q9GZZ8,LACRT_HUMAN,LACRT,Extracellular glycoprotein lacritin,4289.21,,,,,
Q9GZZ9,UBA5_HUMAN,UBA5,Ubiquitin-like modifier-activating enzyme 5,2.77E+06,2.93E+06,2.50E+06,2.62E+06,2.47E+06,2.79E+06
Q9H000,MKRN2_HUMAN,MKRN2,E3 ubiquitin-protein ligase makorin-2,429369,,359180,871856,522181,
Q9H008,LHPP_HUMAN,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,1.09E+07,4.26E+07,9.35E+06,6.83E+06,6.18E+06,9.31E+06
Q9H019,MFR1L_HUMAN,MTFR1L,Mitochondrial fission regulator 1-like,143946,,115793,194305,50953.3,214107
Q9H061,T126A_HUMAN,TMEM126A,Transmembrane protein 126A,13484.8,,30979.5,25480.5,,15842.4
Q9H063,MAF1_HUMAN,MAF1,Repressor of RNA polymerase III transcription MAF1 homolog,13023.4,12141.2,12516.3,17971.1,12580.7,15224
Q9H074,PAIP1_HUMAN,PAIP1,Polyadenylate-binding protein-interacting protein 1,4.53E+06,4.19E+06,5.17E+06,8.32E+06,5.92E+06,5.20E+06
Q9H081,MIS12_HUMAN,MIS12,Protein MIS12 homolog,132252,,,28324.6,,84602.9
Q9H082,RB33B_HUMAN,RAB33B,Ras-related protein Rab-33B,5.59E+07,,7.74E+07,8.41E+07,1.04E+08,8.36E+07
Q9H089,LSG1_HUMAN,LSG1,Large subunit GTPase 1 homolog,1.41E+06,,853005,1.39E+06,1.62E+06,1.75E+06
Q9H098,F107B_HUMAN,FAM107B,Protein FAM107B,2.75E+06,5.51E+06,2.40E+06,1.55E+06,2.43E+06,1.56E+06
Q9H0A0,NAT10_HUMAN,NAT10,RNA cytidine acetyltransferase,3.23E+06,3.60E+06,1.58E+06,965086,3.97E+06,3.24E+06
Q9H0A8,COMD4_HUMAN,COMMD4,COMM domain-containing protein 4,225603,,236889,246454,284696,251180
Q9H0B6,KLC2_HUMAN,KLC2,Kinesin light chain 2,92143.6,159649,125184,158449,94100,108262
Q9H0C8,ILKAP_HUMAN,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,1.51E+06,566889,1.66E+06,2.01E+06,1.78E+06,1.73E+06
Q9H0D6,XRN2_HUMAN,XRN2,5'-3' exoribonuclease 2,4.28E+06,1.24E+06,2.23E+06,2.86E+06,3.28E+06,2.97E+06
Q9H0E2,TOLIP_HUMAN,TOLLIP,Toll-interacting protein,2.80E+06,4.23E+06,1.15E+07,2.01E+06,2.40E+06,2.52E+06
Q9H0E3,SP130_HUMAN,SAP130,Histone deacetylase complex subunit SAP130,984641,,,646690,310691,
Q9H0E9,BRD8_HUMAN,BRD8,Bromodomain-containing protein 8,7.84E+06,,2.03E+06,2.68E+06,1.19E+06,939032
Q9H0F6,SHRPN_HUMAN,SHARPIN,Sharpin,52356.8,,191847,5.88E+06,8.28E+06,41994.6
Q9H0F7,ARL6_HUMAN,ARL6,ADP-ribosylation factor-like protein 6,4.37E+06,,1.08E+07,4.10E+06,5.86E+06,
Q9H0G5,NSRP1_HUMAN,NSRP1,Nuclear speckle splicing regulatory protein 1,5412.96,,4523.04,,4961.26,4682.8
Q9H0H5,RGAP1_HUMAN,RACGAP1,Rac GTPase-activating protein 1,,,,142796,,
Q9H0J9,PAR12_HUMAN,PARP12,Protein mono-ADP-ribosyltransferase PARP12,43970.8,,163946,107830,98725.6,
Q9H0L4,CSTFT_HUMAN,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,1.54E+06,,691189,1.50E+06,1.53E+06,1.27E+06
Q9H0N0,RAB6C_HUMAN,RAB6C,Ras-related protein Rab-6C,456159,,345092,448684,454362,695966
Q9H0N5,PHS2_HUMAN,PCBD2,Pterin-4-alpha-carbinolamine dehydratase 2,829764,4.18E+06,725718,697801,431262,979385
Q9H0P0,5NT3A_HUMAN,NT5C3A,Cytosolic 5'-nucleotidase 3A,2.06E+06,2.34E+06,1.56E+06,1.19E+06,2.64E+06,971864
Q9H0Q0,CYRIA_HUMAN,CYRIA,CYFIP-related Rac1 interactor A,468624,691160,1.15E+06,406312,392602,450858
Q9H0R4,HDHD2_HUMAN,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2,6.62E+06,1.33E+07,7.39E+06,4.40E+06,3.64E+06,5.65E+06
Q9H0R8,GBRL1_HUMAN,GABARAPL1,Gamma-aminobutyric acid receptor-associated protein-like 1,12063.4,,,8133.07,6480.76,
Q9H0S4,DDX47_HUMAN,DDX47,Probable ATP-dependent RNA helicase DDX47,15750.5,12213.6,15320.1,7187.53,22517.3,25301
Q9H0U3,MAGT1_HUMAN,MAGT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,8695.96,,,11764.6,10670.1,29570.3
Q9H0U4,RAB1B_HUMAN,RAB1B,Ras-related protein Rab-1B,1.17E+07,9.29E+06,7.21E+06,9.48E+06,1.11E+07,1.28E+07
Q9H0U9,TSYL1_HUMAN,TSPYL1,Testis-specific Y-encoded-like protein 1,5485.88,,10194.2,10631.8,,
Q9H0W5,CCDC8_HUMAN,CCDC8,Coiled-coil domain-containing protein 8,17002.3,,38912.1,11047.2,29264.3,18736.9
Q9H0W8,SMG9_HUMAN,SMG9,Nonsense-mediated mRNA decay factor SMG9,5324.53,,6409.29,8855.97,9455.56,
Q9H0W9,CK054_HUMAN,C11orf54,Ester hydrolase C11orf54,8.56E+06,1.35E+07,1.79E+07,9.24E+06,5.54E+06,1.10E+07
Q9H0X4,F234A_HUMAN,FAM234A,Protein FAM234A,274077,,683081,333907,235110,122729
Q9H173,SIL1_HUMAN,SIL1,Nucleotide exchange factor SIL1,128849,383837,157098,231911,264373,168427
Q9H190,SDCB2_HUMAN,SDCBP2,Syntenin-2,150176,,931407,287081,169361,
Q9H1A4,APC1_HUMAN,ANAPC1,Anaphase-promoting complex subunit 1,245199,,157638,176731,248548,432577
Q9H1B5,XYLT2_HUMAN,XYLT2,Xylosyltransferase 2,53138.2,,318088,1.19E+06,944651,
Q9H1B7,I2BPL_HUMAN,IRF2BPL,Probable E3 ubiquitin-protein ligase IRF2BPL,11047.1,,,10101.8,15238.2,12610.2
Q9H1C4,UN93B_HUMAN,UNC93B1,Protein unc-93 homolog B1,2647.75,,,1159.8,,
Q9H1C7,CYTM1_HUMAN,CYSTM1,Cysteine-rich and transmembrane domain-containing protein 1,780553,2.40E+06,1.13E+07,908319,1.75E+06,793391
Q9H1D9,RPC6_HUMAN,POLR3F,DNA-directed RNA polymerase III subunit RPC6,1.14E+06,,868930,966275,5.87E+06,1.85E+06
Q9H1E1,RNAS7_HUMAN,RNASE7,Ribonuclease 7,,193578,23541.2,49935.6,,23355.8
Q9H1E3,NUCKS_HUMAN,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,6.91E+07,3.22E+07,4.70E+07,2.99E+07,2.46E+07,4.04E+07
Q9H1E5,TMX4_HUMAN,TMX4,Thioredoxin-related transmembrane protein 4,253193,,,505033,400453,506124
Q9H1H9,KI13A_HUMAN,KIF13A,Kinesin-like protein KIF13A,262739,1.60E+06,178925,124142,75334.5,111444
Q9H1I8,ASCC2_HUMAN,ASCC2,Activating signal cointegrator 1 complex subunit 2,498976,,435020,499194,509861,502607
Q9H1K0,RBNS5_HUMAN,RBSN,Rabenosyn-5,5710.56,,,6032.03,,12914.5
Q9H1P3,OSBL2_HUMAN,OSBPL2,Oxysterol-binding protein-related protein 2,225583,,,137208,140274,203066
Q9H1X1,RSPH9_HUMAN,RSPH9,Radial spoke head protein 9 homolog,238148,,530386,,191504,
Q9H1Y0,ATG5_HUMAN,ATG5,Autophagy protein 5,7.87E+06,1.81E+07,9.14E+06,9.60E+06,1.05E+07,8.17E+06
Q9H1Z4,WDR13_HUMAN,WDR13,WD repeat-containing protein 13,1.88E+06,,1.46E+06,1.30E+06,1.38E+06,1.56E+06
Q9H1Z8,AUGN_HUMAN,ECRG4,Augurin,2.46E+06,,774537,,903803,
Q9H201,EPN3_HUMAN,EPN3,Epsin-3,303222,,311523,235940,,357449
Q9H223,EHD4_HUMAN,EHD4,EH domain-containing protein 4,4.64E+07,6.69E+07,1.90E+08,8.92E+07,6.18E+07,7.53E+07
Q9H267,VP33B_HUMAN,VPS33B,Vacuolar protein sorting-associated protein 33B,154844,,195550,113670,117420,131619
Q9H269,VPS16_HUMAN,VPS16,Vacuolar protein sorting-associated protein 16 homolog,824312,775192,740135,825030,658241,784573
Q9H270,VPS11_HUMAN,VPS11,Vacuolar protein sorting-associated protein 11 homolog,410211,,473047,566477,567722,666532
Q9H299,SH3L3_HUMAN,SH3BGRL3,SH3 domain-binding glutamic acid-rich-like protein 3,9.00E+07,2.74E+08,5.69E+07,6.26E+07,5.47E+07,5.04E+07
Q9H2D6,TARA_HUMAN,TRIOBP,TRIO and F-actin-binding protein,1.17E+06,398569,896379,490236,719572,1.53E+06
Q9H2G2,SLK_HUMAN,SLK,STE20-like serine/threonine-protein kinase,2.23E+07,3.78E+07,3.08E+07,2.36E+07,2.68E+07,2.36E+07
Q9H2H8,PPIL3_HUMAN,PPIL3,Peptidyl-prolyl cis-trans isomerase-like 3,7.55E+06,7.58E+06,5.60E+06,4.13E+06,4.14E+06,7.12E+06
Q9H2I8,LRMDA_HUMAN,LRMDA,Leucine-rich melanocyte differentiation-associated protein,4356.57,,7755.95,6352.45,,
Q9H2J4,PDCL3_HUMAN,PDCL3,Phosducin-like protein 3,2.44E+06,2.26E+06,3.99E+06,5.96E+06,5.11E+06,3.93E+06
Q9H2K8,TAOK3_HUMAN,TAOK3,Serine/threonine-protein kinase TAO3,398521,445933,181452,157391,356543,225118
Q9H2M9,RBGPR_HUMAN,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit,302500,210768,441605,634875,682841,700232
Q9H2P0,ADNP_HUMAN,ADNP,Activity-dependent neuroprotector homeobox protein,3.29E+06,,,1.43E+06,2.79E+06,1.10E+06
Q9H2P9,DPH5_HUMAN,DPH5,Diphthine methyl ester synthase,1.32E+06,,2.76E+06,1.88E+06,1.90E+06,1.51E+06
Q9H2U1,DHX36_HUMAN,DHX36,ATP-dependent DNA/RNA helicase DHX36,5.60E+06,2.87E+06,4.48E+06,4.07E+06,4.74E+06,4.08E+06
Q9H2U2,IPYR2_HUMAN,PPA2,"Inorganic pyrophosphatase 2, mitochondrial",3.78E+07,3.92E+07,6.53E+07,3.98E+07,3.12E+07,2.49E+07
Q9H2X0,CHRD_HUMAN,CHRD,Chordin,45647.2,,23364,27169.9,25884.2,51117.5
Q9H307,PININ_HUMAN,PNN,Pinin,4.51E+06,4.57E+06,1.58E+06,2.06E+06,3.14E+06,2.51E+06
Q9H336,CRLD1_HUMAN,CRISPLD1,Cysteine-rich secretory protein LCCL domain-containing 1,,,,1.19E+06,,
Q9H3G5,CPVL_HUMAN,CPVL,Probable serine carboxypeptidase CPVL,1.17E+06,1.02E+06,788001,375025,793111,731213
Q9H3H3,CK068_HUMAN,C11orf68,UPF0696 protein C11orf68,3.90E+06,5.34E+06,3.02E+06,2.68E+06,2.82E+06,3.28E+06
Q9H3K6,BOLA2_HUMAN,BOLA2,BolA-like protein 2,1.24E+07,2.19E+07,6.55E+06,9.29E+06,1.03E+07,9.88E+06
Q9H3M7,TXNIP_HUMAN,TXNIP,Thioredoxin-interacting protein,233929,,474226,192818,256631,343112
Q9H3N1,TMX1_HUMAN,TMX1,Thioredoxin-related transmembrane protein 1,569859,1.78E+06,1.96E+06,2.09E+06,1.55E+06,2.16E+06
Q9H3P2,NELFA_HUMAN,NELFA,Negative elongation factor A,366197,,379888,355431,282653,338757
Q9H3P7,GCP60_HUMAN,ACBD3,Golgi resident protein GCP60,1.09E+06,645820,546649,1.73E+06,900385,1.27E+06
Q9H3Q1,BORG4_HUMAN,CDC42EP4,Cdc42 effector protein 4,2.84E+06,1.80E+06,3.59E+06,1.70E+06,2.55E+06,3.44E+06
